words,numbers
name, 1
vue, 12
version, 1
description, 1
Reactive, 1
component, 1
oriented, 1
view, 1
layer, 1
for, 1
modern, 1
web, 10
interfaces, 1
main, 1
dist, 5
runtime, 6
common, 1
js, 27
module, 1
esm, 3
unpkg, 1
jsdelivr, 1
typings, 1
types, 8
index, 1
d, 2
ts, 2
files, 1
src, 2
sideEffects, 1
false, 1
scripts, 15
dev, 12
rollup, 15
w, 8
c, 8
config, 13
environment, 8
TARGET, 8
full, 2
cjs, 3
test, 23
karma, 19
start, 4
unit, 6
ssr, 10
server, 5
renderer, 3
compiler, 4
weex, 16
framework, 1
factory, 2
build, 10
node, 9
npm, 15
run, 15
lint, 5
flow, 7
check, 2
cover, 3
e, 6
env, 2
phantomjs, 3
prod, 1
basic, 1
runner, 1
jasmine, 8
JASMINE, 2
CONFIG, 2
PATH, 2
sauce, 7
tsc, 1
p, 1
tsconfig, 1
json, 1
eslint, 6
bench, 1
benchmarks, 2
renderToString, 1
renderToStream, 1
release, 6
bash, 2
sh, 2
note, 2
gen, 1
commit, 4
git, 5
cz, 3
gitHooks, 1
pre, 1
staged, 3
msg, 2
verify, 1
fix, 1
add, 1
repository, 1
type, 1
url, 2
https, 3
github, 3
com, 3
vuejs, 3
keywords, 1
author, 1
Evan, 1
You, 1
license, 1
MIT, 1
bugs, 1
issues, 1
homepage, 1
readme, 1
devDependencies, 1
babel, 13
core, 2
plugin, 14
proposal, 1
class, 1
properties, 1
syntax, 2
dynamic, 1
import, 1
jsx, 3
transform, 2
strip, 1
preset, 2
register, 1
webpack, 3
acorn, 1
helper, 1
merge, 1
props, 1
loader, 3
istanbul, 1
buble, 2
chalk, 1
chromedriver, 1
codecov, 1
commitizen, 2
conventional, 3
changelog, 3
cross, 1
spawn, 1
de, 1
indent, 1
es, 1
promise, 1
escodegen, 1
flowtype, 1
file, 1
bin, 1
hash, 1
sum, 1
he, 1
http, 1
chrome, 1
launcher, 5
coverage, 1
firefox, 1
mocha, 1
reporter, 1
safari, 1
sourcemap, 1
rc, 1
lodash, 3
template, 1
uniq, 1
lru, 1
cache, 1
nightwatch, 2
helpers, 1
prebuilt, 1
puppeteer, 1
resolve, 2
alias, 1
commonjs, 1
no, 1
whitespace, 1
replace, 1
selenium, 1
serialize, 1
javascript, 1
shelljs, 1
terser, 1
typescript, 1
styler, 1
yorkie, 1
path, 1
modules, 1
